"CO2 emissions by sector in Germany",Value,Year,Units
"Other energy industries",23.305,2003, Mt CO2
"Other energy industries",24.543,2004, Mt CO2
"Other energy industries",25.207,2005, Mt CO2
"Other energy industries",24.852,2006, Mt CO2
"Other energy industries",24.695,2007, Mt CO2
"Other energy industries",24.177,2008, Mt CO2
"Other energy industries",22.983,2009, Mt CO2
"Other energy industries",23.631,2010, Mt CO2
"Other energy industries",23.34,2011, Mt CO2
"Other energy industries",23.527,2012, Mt CO2
"Other energy industries",23.433,2013, Mt CO2
"Other energy industries",22.929,2014, Mt CO2
"Other energy industries",23.659,2015, Mt CO2
"Other energy industries",24.135,2016, Mt CO2
"Other energy industries",23.852,2017, Mt CO2
"Other energy industries",23.282,2018, Mt CO2
"Other energy industries",22.793,2019, Mt CO2
"Other energy industries",22.051,2020, Mt CO2
"Other energy industries",21.591,2021, Mt CO2
"Other energy industries",23.079,2022, Mt CO2
